bot_message,reply_1,reply_2,reply_3,reply_4,reply_5,topic1,topic2,topic3
What is your name?,My name is Noor.,I am Noor.,My name is Hana.,I am Hana.,I'm Noor.,3,11,22
Nice to meet you!,Hi!,Nice to meet you too!,You too!,Thank you!,Nice to meet you!,1,12,23
Say goodbye!,Good night!,Bye!,Goodbye!,Bye-bye!,See you!,1,14,21
What color is this?,This is gray.,I see gray.,It is green.,Gray.,It is gray.,3,10,14
What animal do you see?,It is a dolphin.,A dolphin.,I see a dolphin.,"Look, a dolphin!",A fish.,5,25,14
Do you like bread?,I love bread!,"Yes, I like bread.",Yes!,"No, I don't like bread.",Yummy!,1,17,11
What do you want to play with?,I like the doll.,"A teddy, please.","The doll, please.",Let's play with the doll.,I want the doll.,3,10,14
How many do you see?,One.,There are one.,One toys.,Four.,I see one.,2,27,15
Who is this?,This is Lila.,My mom.,It is my mom.,This is my mom.,My sister.,1,13,22
Where are you?,In the farm.,I am at school.,I am home.,At the home.,I am at the home.,2,15,21
What can you do?,I can eat.,I can run.,I can jump.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you very much!,Thanks a lot!,"Thank you, friend!",Thank you!,Thanks!,2,15,17
"Can I have some juice, please?","Yes, please.",Yes.,Please.,Here you are.,Okay.,7,11,22
Hello!,Hi there!,Hi!,"Hello, Benny!",Hello!,"Hi, friend!",1,12,23
How are you?,I am okay.,I am great!,I am fine.,I am happy.,I am good.,1,14,21
What is your name?,My name is Sam.,I am Sam.,I am Ken.,I'm Ken.,My name is Ken.,2,15,21
Nice to meet you!,You too!,Hi!,Thank you!,Nice to meet you too!,Nice to meet you!,3,11,22
Say goodbye!,Bye!,Good night!,Bye-bye!,See you!,Goodbye!,1,12,23
What color is this?,Blue.,It is green.,I see blue.,It is blue.,This is blue.,3,10,14
What animal do you see?,It is a penguin.,A penguin.,A fish.,"Look, a penguin!",I see a penguin.,5,25,14
Do you like bread?,"Yes, I like bread.",Yes!,Yummy!,I love bread!,"No, I don't like bread.",1,17,11
What do you want to play with?,I want the doll.,"A teddy, please.","The doll, please.",I like the doll.,Let's play with the doll.,3,10,14
How many do you see?,I see one.,One toys.,One.,Four.,There are one.,2,27,15
Who is this?,This is Nico.,My mom.,My sister.,This is my mom.,It is my mom.,1,13,22
Where are you?,In the farm.,I am at the home.,At the home.,I am at school.,I am home.,2,15,21
What can you do?,I can jump.,I can play.,I can run.,I can eat.,Okay.,4,16,15
Please say thank you.,Thanks!,Thank you!,Thank you very much!,Thanks a lot!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Please.,Yes.,"Yes, please.",Okay.,Here you are.,7,11,22
Hello!,Hi there!,"Hi, friend!","Hello, Benny!",Hi!,Hello!,3,11,22
How are you?,I am happy.,I am great!,I am fine.,I am okay.,I am good.,1,12,23
What is your name?,My name is Lara.,I'm Lara.,I am Maya.,My name is Maya.,I am Lara.,1,14,21
Nice to meet you!,Nice to meet you too!,Thank you!,You too!,Hi!,Nice to meet you!,2,15,21
Say goodbye!,See you!,Bye-bye!,Goodbye!,Bye!,Good night!,3,11,22
What color is this?,This is purple.,It is green.,It is purple.,Purple.,I see purple.,3,10,14
What animal do you see?,A fish.,"Look, a penguin!",A penguin.,I see a penguin.,It is a penguin.,5,25,14
Do you like bread?,I love bread!,Yes!,Yummy!,"Yes, I like bread.","No, I don't like bread.",1,17,11
What do you want to play with?,"The doll, please.","A teddy, please.",I want the doll.,I like the doll.,Let's play with the doll.,3,10,14
How many do you see?,One toys.,I see one.,One.,Four.,There are one.,2,27,15
Who is this?,It is my mom.,This is my mom.,This is Ana.,My mom.,My sister.,1,13,22
Where are you?,I am at the home.,At the home.,In the farm.,I am at school.,I am home.,2,15,21
What can you do?,I can run.,I can jump.,I can play.,I can eat.,Okay.,4,16,15
Please say thank you.,Thanks!,Thank you!,Thanks a lot!,Thank you very much!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Here you are.,"Yes, please.",Please.,Yes.,Okay.,7,11,22
Hello!,Hi there!,"Hi, friend!",Hi!,"Hello, Benny!",Hello!,2,15,21
How are you?,I am happy.,I am fine.,I am good.,I am great!,I am okay.,3,11,22
What is your name?,My name is Sam.,I'm Sam.,My name is Nico.,I am Sam.,I am Nico.,1,12,23
Nice to meet you!,You too!,Nice to meet you too!,Hi!,Nice to meet you!,Thank you!,1,14,21
Say goodbye!,Good night!,Goodbye!,Bye-bye!,Bye!,See you!,2,15,21
What color is this?,It is white.,It is green.,This is white.,White.,I see white.,3,10,14
What animal do you see?,A penguin.,I see a penguin.,It is a penguin.,"Look, a penguin!",A fish.,5,25,14
Do you like bread?,Yummy!,I love bread!,Yes!,"Yes, I like bread.","No, I don't like bread.",1,17,11
What do you want to play with?,"The doll, please.",I want the doll.,"A teddy, please.",I like the doll.,Let's play with the doll.,3,10,14
How many do you see?,There are one.,I see one.,One toys.,One.,Four.,2,27,15
Who is this?,My mom.,This is my mom.,My sister.,It is my mom.,This is Luca.,1,13,22
Where are you?,I am at school.,At the home.,I am home.,I am at the home.,In the farm.,2,15,21
What can you do?,I can eat.,I can jump.,I can run.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you very much!,Thanks a lot!,"Thank you, friend!",Thanks!,Thank you!,2,15,17
"Can I have some juice, please?",Yes.,Please.,Okay.,"Yes, please.",Here you are.,7,11,22
Hello!,"Hi, friend!",Hi!,Hi there!,"Hello, Benny!",Hello!,1,14,21
How are you?,I am happy.,I am great!,I am fine.,I am good.,I am okay.,2,15,21
What is your name?,My name is Mia.,I'm Noor.,My name is Noor.,I am Noor.,I am Mia.,3,11,22
Nice to meet you!,Nice to meet you!,Hi!,Nice to meet you too!,You too!,Thank you!,1,12,23
Say goodbye!,Good night!,Bye-bye!,Goodbye!,Bye!,See you!,1,14,21
What color is this?,I see red.,Red.,This is red.,It is red.,It is green.,3,10,14
What animal do you see?,It is a koala.,I see a koala.,A koala.,"Look, a koala!",A fish.,5,25,14
Do you like bread?,"No, I don't like bread.",Yes!,"Yes, I like bread.",I love bread!,Yummy!,1,17,11
What do you want to play with?,"The doll, please.",I like the doll.,I want the doll.,Let's play with the doll.,"A teddy, please.",3,10,14
How many do you see?,I see one.,Four.,There are one.,One.,One toys.,2,27,15
Who is this?,My sister.,It is my mom.,My mom.,This is Lila.,This is my mom.,1,13,22
Where are you?,I am home.,At the home.,In the farm.,I am at school.,I am at the home.,2,15,21
What can you do?,I can jump.,I can run.,I can play.,I can eat.,Okay.,4,16,15
Please say thank you.,Thank you!,Thanks!,Thank you very much!,Thanks a lot!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Please.,Okay.,Here you are.,Yes.,"Yes, please.",7,11,22
Hello!,"Hello, Benny!",Hi there!,Hi!,"Hi, friend!",Hello!,1,12,23
How are you?,I am okay.,I am good.,I am happy.,I am fine.,I am great!,1,14,21
What is your name?,I am Lila.,I am Ken.,My name is Ken.,I'm Ken.,My name is Lila.,2,15,21
Nice to meet you!,Hi!,Thank you!,Nice to meet you too!,You too!,Nice to meet you!,3,11,22
Say goodbye!,See you!,Bye-bye!,Goodbye!,Good night!,Bye!,1,12,23
What color is this?,It is orange.,It is green.,I see orange.,Orange.,This is orange.,3,10,14
What animal do you see?,"Look, a koala!",A koala.,It is a koala.,A fish.,I see a koala.,5,25,14
Do you like bread?,I love bread!,Yummy!,"Yes, I like bread.",Yes!,"No, I don't like bread.",1,17,11
What do you want to play with?,Let's play with the doll.,I want the doll.,I like the doll.,"A teddy, please.","The doll, please.",3,10,14
How many do you see?,One.,I see one.,There are one.,One toys.,Four.,2,27,15
Who is this?,My sister.,My mom.,It is my mom.,This is my mom.,This is Nico.,1,13,22
Where are you?,I am home.,I am at school.,In the farm.,I am at the home.,At the home.,2,15,21
What can you do?,I can run.,I can jump.,I can eat.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you!,Thanks a lot!,Thank you very much!,"Thank you, friend!",Thanks!,2,15,17
"Can I have some juice, please?",Please.,Here you are.,Yes.,Okay.,"Yes, please.",7,11,22
Hello!,Hello!,Hi there!,"Hello, Benny!",Hi!,"Hi, friend!",3,11,22
How are you?,I am fine.,I am okay.,I am happy.,I am great!,I am good.,1,12,23
What is your name?,I am Lara.,My name is Omar.,My name is Lara.,I'm Lara.,I am Omar.,1,14,21
Nice to meet you!,Nice to meet you too!,Thank you!,You too!,Nice to meet you!,Hi!,2,15,21
Say goodbye!,See you!,Bye-bye!,Bye!,Goodbye!,Good night!,3,11,22
What color is this?,It is brown.,This is brown.,I see brown.,It is green.,Brown.,3,10,14
What animal do you see?,It is a koala.,I see a koala.,"Look, a koala!",A fish.,A koala.,5,25,14
Do you like bread?,Yummy!,Yes!,"No, I don't like bread.","Yes, I like bread.",I love bread!,1,17,11
What do you want to play with?,"A teddy, please.",I like the doll.,"The doll, please.",I want the doll.,Let's play with the doll.,3,10,14
How many do you see?,One toys.,There are one.,Four.,I see one.,One.,2,27,15
Who is this?,It is my mom.,This is Ana.,My sister.,This is my mom.,My mom.,1,13,22
Where are you?,At the home.,In the farm.,I am at the home.,I am at school.,I am home.,2,15,21
What can you do?,I can play.,I can run.,I can eat.,I can jump.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,Thank you!,Thanks!,"Thank you, friend!",Thank you very much!,2,15,17
"Can I have some juice, please?",Yes.,"Yes, please.",Here you are.,Okay.,Please.,7,11,22
Hello!,Hi there!,"Hello, Benny!","Hi, friend!",Hello!,Hi!,2,15,21
How are you?,I am great!,I am good.,I am okay.,I am happy.,I am fine.,3,11,22
What is your name?,I am Zoe.,I am Sam.,My name is Sam.,My name is Zoe.,I'm Sam.,1,12,23
Nice to meet you!,You too!,Hi!,Nice to meet you!,Nice to meet you too!,Thank you!,1,14,21
Say goodbye!,See you!,Bye!,Goodbye!,Bye-bye!,Good night!,2,15,21
What color is this?,Gold.,It is gold.,I see gold.,It is green.,This is gold.,3,10,14
What animal do you see?,A fish.,"Look, a koala!",I see a koala.,It is a koala.,A koala.,5,25,14
Do you like bread?,Yummy!,"No, I don't like bread.",I love bread!,Yes!,"Yes, I like bread.",1,17,11
What do you want to play with?,I like the doll.,"The doll, please.","A teddy, please.",Let's play with the doll.,I want the doll.,3,10,14
How many do you see?,I see one.,There are one.,One.,One toys.,Four.,2,27,15
Who is this?,This is Luca.,My mom.,It is my mom.,This is my mom.,My sister.,1,13,22
Where are you?,In the farm.,At the home.,I am home.,I am at the home.,I am at school.,2,15,21
What can you do?,I can eat.,I can run.,I can play.,I can jump.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,"Thank you, friend!",Thank you very much!,Thanks!,Thank you!,2,15,17
"Can I have some juice, please?",Please.,Here you are.,Okay.,Yes.,"Yes, please.",7,11,22
Hello!,Hi!,"Hi, friend!",Hi there!,"Hello, Benny!",Hello!,1,14,21
How are you?,I am okay.,I am happy.,I am fine.,I am great!,I am good.,2,15,21
What is your name?,I am Noor.,My name is Noor.,I'm Noor.,My name is Sara.,I am Sara.,3,11,22
Nice to meet you!,Thank you!,Hi!,Nice to meet you too!,You too!,Nice to meet you!,1,12,23
Say goodbye!,Goodbye!,See you!,Good night!,Bye-bye!,Bye!,1,14,21
What color is this?,It is green.,I see green.,This is green.,Green.,Okay.,3,10,14
What animal do you see?,A fish.,It is a kangaroo.,"Look, a kangaroo!",A kangaroo.,I see a kangaroo.,5,25,14
Do you like bread?,Yummy!,"No, I don't like bread.","Yes, I like bread.",I love bread!,Yes!,1,17,11
What do you want to play with?,Let's play with the doll.,I want the doll.,"A teddy, please.",I like the doll.,"The doll, please.",3,10,14
How many do you see?,I see one.,One toys.,There are one.,Four.,One.,2,27,15
Who is this?,It is my mom.,My sister.,My mom.,This is my mom.,This is Lila.,1,13,22
Where are you?,I am at school.,I am at the home.,At the home.,In the farm.,I am home.,2,15,21
What can you do?,I can play.,I can jump.,I can eat.,I can run.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,Thank you!,Thanks!,"Thank you, friend!",Thank you very much!,2,15,17
"Can I have some juice, please?",Please.,Here you are.,Yes.,"Yes, please.",Okay.,7,11,22
Hello!,Hello!,Hi!,"Hi, friend!",Hi there!,"Hello, Benny!",1,12,23
How are you?,I am great!,I am fine.,I am happy.,I am okay.,I am good.,1,14,21
What is your name?,I am Ken.,My name is Ken.,My name is Ben.,I'm Ken.,I am Ben.,2,15,21
Nice to meet you!,Nice to meet you too!,Nice to meet you!,Hi!,You too!,Thank you!,3,11,22
Say goodbye!,See you!,Good night!,Bye!,Bye-bye!,Goodbye!,1,12,23
What color is this?,It is green.,Pink.,This is pink.,It is pink.,I see pink.,3,10,14
What animal do you see?,"Look, a kangaroo!",I see a kangaroo.,It is a kangaroo.,A fish.,A kangaroo.,5,25,14
Do you like bread?,Yummy!,Yes!,I love bread!,"No, I don't like bread.","Yes, I like bread.",1,17,11
What do you want to play with?,I want the doll.,"A teddy, please.",I like the doll.,"The doll, please.",Let's play with the doll.,3,10,14
How many do you see?,One.,There are one.,I see one.,Four.,One toys.,2,27,15
Who is this?,It is my mom.,My mom.,This is Nico.,My sister.,This is my mom.,1,13,22
Where are you?,I am at the home.,At the home.,I am home.,I am at school.,In the farm.,2,15,21
What can you do?,I can eat.,I can jump.,I can run.,I can play.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thank you very much!,Thanks!,Thank you!,Thanks a lot!,2,15,17
"Can I have some juice, please?",Okay.,Here you are.,"Yes, please.",Yes.,Please.,7,11,22
Hello!,Hi there!,"Hi, friend!","Hello, Benny!",Hi!,Hello!,3,11,22
How are you?,I am good.,I am fine.,I am okay.,I am great!,I am happy.,1,12,23
What is your name?,I am Lara.,My name is Lara.,I am Noor.,I'm Lara.,My name is Noor.,1,14,21
Nice to meet you!,You too!,Nice to meet you too!,Nice to meet you!,Hi!,Thank you!,2,15,21
Say goodbye!,See you!,Goodbye!,Bye!,Bye-bye!,Good night!,3,11,22
What color is this?,It is gray.,It is green.,I see gray.,This is gray.,Gray.,3,10,14
What animal do you see?,A kangaroo.,I see a kangaroo.,A fish.,"Look, a kangaroo!",It is a kangaroo.,5,25,14
Do you like bread?,"No, I don't like bread.",Yummy!,Yes!,"Yes, I like bread.",I love bread!,1,17,11
What do you want to play with?,"A teddy, please.",I like the doll.,"The doll, please.",I want the doll.,Let's play with the doll.,3,10,14
How many do you see?,There are one.,One.,One toys.,Four.,I see one.,2,27,15
Who is this?,My sister.,My mom.,This is Ana.,It is my mom.,This is my mom.,1,13,22
Where are you?,In the farm.,I am home.,At the home.,I am at the home.,I am at school.,2,15,21
What can you do?,I can play.,I can jump.,I can run.,I can eat.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thank you very much!,Thanks!,Thanks a lot!,Thank you!,2,15,17
"Can I have some juice, please?","Yes, please.",Please.,Here you are.,Okay.,Yes.,7,11,22
Hello!,"Hi, friend!",Hi!,Hello!,"Hello, Benny!",Hi there!,2,15,21
How are you?,I am happy.,I am great!,I am fine.,I am good.,I am okay.,3,11,22
What is your name?,I'm Sam.,My name is Eli.,My name is Sam.,I am Eli.,I am Sam.,1,12,23
Nice to meet you!,Nice to meet you too!,You too!,Hi!,Thank you!,Nice to meet you!,1,14,21
Say goodbye!,Good night!,Bye-bye!,Goodbye!,See you!,Bye!,2,15,21
What color is this?,This is yellow.,It is green.,Yellow.,It is yellow.,I see yellow.,3,10,14
What animal do you see?,A goat.,"Look, a goat!",It is a goat.,A fish.,I see a goat.,5,25,14
Do you like bread?,Yes!,I love bread!,"Yes, I like bread.","No, I don't like bread.",Yummy!,1,17,11
What do you want to play with?,Let's play with the doll.,I want the doll.,I like the doll.,"A teddy, please.","The doll, please.",3,10,14
How many do you see?,One.,There are one.,One toys.,I see one.,Four.,2,27,15
Who is this?,My sister.,It is my mom.,My mom.,This is Luca.,This is my mom.,1,13,22
Where are you?,In the farm.,I am at school.,I am at the home.,At the home.,I am home.,2,15,21
What can you do?,I can jump.,I can run.,I can play.,I can eat.,Okay.,4,16,15
Please say thank you.,Thank you!,Thank you very much!,Thanks a lot!,Thanks!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Okay.,"Yes, please.",Please.,Here you are.,Yes.,7,11,22
Hello!,"Hello, Benny!",Hi!,Hello!,"Hi, friend!",Hi there!,1,14,21
How are you?,I am okay.,I am good.,I am happy.,I am great!,I am fine.,2,15,21
What is your name?,I'm Noor.,I am Noor.,I am Sam.,My name is Noor.,My name is Sam.,3,11,22
Nice to meet you!,Nice to meet you!,Nice to meet you too!,Thank you!,You too!,Hi!,1,12,23
Say goodbye!,Goodbye!,See you!,Good night!,Bye!,Bye-bye!,1,14,21
What color is this?,This is purple.,It is purple.,Purple.,I see purple.,It is green.,3,10,14
What animal do you see?,A goat.,I see a goat.,A fish.,"Look, a goat!",It is a goat.,5,25,14
Do you like bread?,Yes!,"Yes, I like bread.",I love bread!,"No, I don't like bread.",Yummy!,1,17,11
What do you want to play with?,I want the doll.,Let's play with the doll.,"A teddy, please.","The doll, please.",I like the doll.,3,10,14
How many do you see?,One.,I see one.,One toys.,Four.,There are one.,2,27,15
Who is this?,This is Lila.,My sister.,This is my mom.,It is my mom.,My mom.,1,13,22
Where are you?,I am at school.,I am at the home.,I am home.,In the farm.,At the home.,2,15,21
What can you do?,I can run.,I can eat.,I can jump.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you!,Thanks!,"Thank you, friend!",Thanks a lot!,Thank you very much!,2,15,17
"Can I have some juice, please?",Yes.,Please.,"Yes, please.",Here you are.,Okay.,7,11,22
Hello!,"Hello, Benny!","Hi, friend!",Hi there!,Hi!,Hello!,1,12,23
How are you?,I am happy.,I am okay.,I am great!,I am good.,I am fine.,1,14,21
What is your name?,I am Maya.,I am Ken.,I'm Ken.,My name is Maya.,My name is Ken.,2,15,21
Nice to meet you!,Nice to meet you too!,Nice to meet you!,You too!,Hi!,Thank you!,3,11,22
Say goodbye!,Goodbye!,Bye-bye!,Good night!,See you!,Bye!,1,12,23
